Id,Action
1,0.741023450348494
2,0.976466666666667
3,0.961276190476191
4,0.952833333333333
5,0.9892
6,1
7,0.994618518518518
8,0.994333333333333
9,0.840344444444445
10,0.951549713138267
11,0.883853009655556
12,0.990894959716404
13,0.978505769230769
14,0.9155
15,0.97597619047619
16,0.96541568627451
17,0.9371
18,0.956587548646252
19,0.978493650793651
20,0.954681484933209
21,0.984785885131721
22,0.951466666666667
23,0.849677435897436
24,0.91075302488622
25,0.949855555555556
26,0.921528805428806
27,0.905676190476191
28,0.95502234852924
29,0.910666666666667
30,0.9543
31,0.992930340253456
32,0.9719
33,0.9737
34,0.9963
35,0.956010829266034
36,0.984866666666667
37,0.974166666666667
38,0.838338888888889
39,0.937641455549668
40,0.977176190476191
41,0.884077777777778
42,0.976579710144928
43,0.989450972259917
44,0.972078788267817
45,0.974791194968553
46,0.925755900621118
47,0.992733333333333
48,0.994504818413763
49,0.973674959716404
50,0.949630769230769
51,0.912148580798812
52,0.988552818161575
53,0.932849470662973
54,0.9823
55,0.923680952380953
56,0.875393258318302
57,0.956964400694606
58,0.982
59,0.94475060690943
60,0.922436363636364
61,0.999333333333333
62,0.959309678878336
63,0.945839722755683
64,0.929880952380953
65,0.963829166666667
66,0.984733333333333
67,0.895342063492064
68,1
69,0.945512875536598
70,0.811884250026363
71,0.993663489595214
72,0.951547619047619
73,0.967166666666667
74,0.989394629445776
75,0.995833333333333
76,0.983066666666667
77,0.9488
78,0.742674566684911
79,0.990979710144928
80,0.87964008429628
81,0.9106
82,0.796127805273229
83,0.9365
84,0.977566666666667
85,0.977985507246377
86,0.798590496477858
87,0.96335639589169
88,0.927773694175278
89,0.991733333333333
90,0.9825
91,0.941438587848933
92,0.51281452991453
93,0.9972
94,0.886205632779417
95,0.97641422803864
96,0.715233333333333
97,0.917973631876663
98,0.971551515151515
99,1
100,0.9854
101,0.932118063193344
102,0.8358
103,0.989478839795185
104,0.920811111111111
105,0.859233333333333
106,0.992266666666667
107,0.9567
108,0.953945235315587
109,0.999
